Drug1,Drug2,cell,drug1_db,drug2_db,synergy,synergistic
5-FU,BORTEZOMIB,27,251,393,-2.395,0
5-FU,DASATINIB,27,251,458,1.5075,1
5-FU,ERLOTINIB,27,251,367,8.2525,1
5-FU,GELDANAMYCIN,27,251,585,6.0575,1
5-FU,LAPATINIB,27,251,531,4.92,1
5-FU,SORAFENIB,27,251,159,11.155,1
5-FU,SUNITINIB,27,251,366,13.5325,1
BORTEZOMIB,DASATINIB,27,393,458,1.05,1
BORTEZOMIB,GELDANAMYCIN,27,393,585,3.5625,1
BORTEZOMIB,SORAFENIB,27,393,159,12.895,1
BORTEZOMIB,TOPOTECAN,27,393,745,2.6475,1
DASATINIB,GELDANAMYCIN,27,458,585,-1.815,0
DASATINIB,SORAFENIB,27,458,159,13.4575,1
DASATINIB,TOPOTECAN,27,458,745,2.4525,1
DEXAMETHASONE,BORTEZOMIB,27,552,393,5.385,1
DEXAMETHASONE,DASATINIB,27,552,458,2.6975,1
DEXAMETHASONE,ERLOTINIB,27,552,367,-0.9,0
DEXAMETHASONE,GELDANAMYCIN,27,552,585,11.3325,1
DEXAMETHASONE,LAPATINIB,27,552,531,4.18,1
DEXAMETHASONE,SORAFENIB,27,552,159,17.79,1
DEXAMETHASONE,SUNITINIB,27,552,366,16.935,1
DOXORUBICIN,BORTEZOMIB,27,761,393,-0.0825,0
DOXORUBICIN,DASATINIB,27,761,458,1.65,1
DOXORUBICIN,ERLOTINIB,27,761,367,0.31,1
DOXORUBICIN,GELDANAMYCIN,27,761,585,0.9525,1
DOXORUBICIN,LAPATINIB,27,761,531,3.115,1
DOXORUBICIN,SORAFENIB,27,761,159,-0.9275,0
DOXORUBICIN,SUNITINIB,27,761,366,-1.125,0
ERLOTINIB,BORTEZOMIB,27,367,393,-1.195,0
ERLOTINIB,DASATINIB,27,367,458,5.085,1
ERLOTINIB,GELDANAMYCIN,27,367,585,6.1575,1
ERLOTINIB,SORAFENIB,27,367,159,8.445,1
ERLOTINIB,TOPOTECAN,27,367,745,13.74,1
ETOPOSIDE,BORTEZOMIB,27,589,393,3.95,1
ETOPOSIDE,DASATINIB,27,589,458,-0.1675,0
ETOPOSIDE,ERLOTINIB,27,589,367,2.54,1
ETOPOSIDE,GELDANAMYCIN,27,589,585,9.53,1
ETOPOSIDE,LAPATINIB,27,589,531,3.5975,1
ETOPOSIDE,SORAFENIB,27,589,159,3.7175,1
ETOPOSIDE,SUNITINIB,27,589,366,3.4675,1
GELDANAMYCIN,SORAFENIB,27,585,159,16.7075,1
GELDANAMYCIN,TOPOTECAN,27,585,745,7.5,1
GEMCITABINE,BORTEZOMIB,27,592,393,10.09,1
GEMCITABINE,DASATINIB,27,592,458,2.7175,1
GEMCITABINE,ERLOTINIB,27,592,367,8.84,1
GEMCITABINE,GELDANAMYCIN,27,592,585,9.8775,1
GEMCITABINE,LAPATINIB,27,592,531,5.9925,1
GEMCITABINE,SORAFENIB,27,592,159,3.0975,1
GEMCITABINE,SUNITINIB,27,592,366,8.2875,1
LAPATINIB,BORTEZOMIB,27,531,393,1.7725,1
LAPATINIB,DASATINIB,27,531,458,7.1,1
LAPATINIB,ERLOTINIB,27,531,367,5.1075,1
LAPATINIB,GELDANAMYCIN,27,531,585,9.875,1
LAPATINIB,SORAFENIB,27,531,159,20.58,1
LAPATINIB,TOPOTECAN,27,531,745,10.4225,1
METFORMIN,BORTEZOMIB,27,716,393,2.6525,1
METFORMIN,DASATINIB,27,716,458,-0.5275,0
METFORMIN,ERLOTINIB,27,716,367,-0.415,0
METFORMIN,GELDANAMYCIN,27,716,585,10.9925,1
METFORMIN,LAPATINIB,27,716,531,4.47,1
METFORMIN,SORAFENIB,27,716,159,17.3525,1
METFORMIN,SUNITINIB,27,716,366,13.2575,1
METHOTREXATE,BORTEZOMIB,27,440,393,-2.4275,0
METHOTREXATE,DASATINIB,27,440,458,5.06,1
METHOTREXATE,ERLOTINIB,27,440,367,3.2875,1
METHOTREXATE,GELDANAMYCIN,27,440,585,-6.2425,0
METHOTREXATE,LAPATINIB,27,440,531,0.105,1
METHOTREXATE,SORAFENIB,27,440,159,1.55,1
METHOTREXATE,SUNITINIB,27,440,366,-2.5225,0
PACLITAXEL,BORTEZOMIB,27,267,393,2.1075,1
PACLITAXEL,DASATINIB,27,267,458,0.645,1
PACLITAXEL,ERLOTINIB,27,267,367,-2.2525,0
PACLITAXEL,GELDANAMYCIN,27,267,585,3.855,1
PACLITAXEL,LAPATINIB,27,267,531,0.375,1
PACLITAXEL,SORAFENIB,27,267,159,3.4675,1
PACLITAXEL,SUNITINIB,27,267,366,5.6075,1
SUNITINIB,BORTEZOMIB,27,366,393,5.2975,1
SUNITINIB,DASATINIB,27,366,458,16.3975,1
SUNITINIB,ERLOTINIB,27,366,367,14.34,1
SUNITINIB,GELDANAMYCIN,27,366,585,10.5975,1
SUNITINIB,LAPATINIB,27,366,531,24.8375,1
SUNITINIB,SORAFENIB,27,366,159,12.515,1
SUNITINIB,TOPOTECAN,27,366,745,3.2725,1
TOPOTECAN,SORAFENIB,27,745,159,8.77,1
VINBLASTINE,BORTEZOMIB,27,293,393,4.51,1
VINBLASTINE,DASATINIB,27,293,458,-1.2525,0
VINBLASTINE,ERLOTINIB,27,293,367,8.9775,1
VINBLASTINE,GELDANAMYCIN,27,293,585,3.1475,1
VINBLASTINE,LAPATINIB,27,293,531,2.5875,1
VINBLASTINE,SORAFENIB,27,293,159,15.8075,1
VINBLASTINE,SUNITINIB,27,293,366,7.7925,1
VINORELBINE,BORTEZOMIB,27,416,393,0.125,1
VINORELBINE,DASATINIB,27,416,458,-1.34,0
VINORELBINE,ERLOTINIB,27,416,367,3.5475,1
VINORELBINE,GELDANAMYCIN,27,416,585,3.07,1
VINORELBINE,LAPATINIB,27,416,531,1.25,1
VINORELBINE,SORAFENIB,27,416,159,5.005,1
VINORELBINE,SUNITINIB,27,416,366,3.1575,1
5-FU,BORTEZOMIB,4,251,393,2.3325,1
5-FU,DASATINIB,4,251,458,11.825,1
5-FU,ERLOTINIB,4,251,367,15.215,1
5-FU,GELDANAMYCIN,4,251,585,4.1725,1
5-FU,LAPATINIB,4,251,531,15.875,1
5-FU,SORAFENIB,4,251,159,5.4125,1
5-FU,SUNITINIB,4,251,366,10.6925,1
BORTEZOMIB,DASATINIB,4,393,458,4.33,1
BORTEZOMIB,GELDANAMYCIN,4,393,585,3.0325,1
BORTEZOMIB,SORAFENIB,4,393,159,3.0225,1
BORTEZOMIB,TOPOTECAN,4,393,745,5.575,1
DASATINIB,GELDANAMYCIN,4,458,585,6.5325,1
DASATINIB,SORAFENIB,4,458,159,13.57,1
DASATINIB,TOPOTECAN,4,458,745,7.215,1
DEXAMETHASONE,BORTEZOMIB,4,552,393,1.5225,1
DEXAMETHASONE,DASATINIB,4,552,458,5.5075,1
DEXAMETHASONE,ERLOTINIB,4,552,367,3.7525,1
DEXAMETHASONE,GELDANAMYCIN,4,552,585,3.005,1
DEXAMETHASONE,LAPATINIB,4,552,531,4.5975,1
DEXAMETHASONE,SORAFENIB,4,552,159,2.0025,1
DEXAMETHASONE,SUNITINIB,4,552,366,5.795,1
DOXORUBICIN,BORTEZOMIB,4,761,393,4.1825,1
DOXORUBICIN,DASATINIB,4,761,458,7.6625,1
DOXORUBICIN,ERLOTINIB,4,761,367,6.0,1
DOXORUBICIN,GELDANAMYCIN,4,761,585,2.6175,1
DOXORUBICIN,LAPATINIB,4,761,531,8.875,1
DOXORUBICIN,SORAFENIB,4,761,159,-0.3575,0
DOXORUBICIN,SUNITINIB,4,761,366,-0.38,0
ERLOTINIB,BORTEZOMIB,4,367,393,2.68,1
ERLOTINIB,DASATINIB,4,367,458,11.615,1
ERLOTINIB,GELDANAMYCIN,4,367,585,5.6025,1
ERLOTINIB,SORAFENIB,4,367,159,8.295,1
ERLOTINIB,TOPOTECAN,4,367,745,13.0275,1
ETOPOSIDE,BORTEZOMIB,4,589,393,3.64,1
ETOPOSIDE,DASATINIB,4,589,458,9.715,1
ETOPOSIDE,ERLOTINIB,4,589,367,9.72,1
ETOPOSIDE,GELDANAMYCIN,4,589,585,3.5125,1
ETOPOSIDE,LAPATINIB,4,589,531,12.05,1
ETOPOSIDE,SORAFENIB,4,589,159,1.675,1
ETOPOSIDE,SUNITINIB,4,589,366,2.3025,1
GELDANAMYCIN,SORAFENIB,4,585,159,2.2275,1
GELDANAMYCIN,TOPOTECAN,4,585,745,3.3425,1
GEMCITABINE,BORTEZOMIB,4,592,393,2.8025,1
GEMCITABINE,DASATINIB,4,592,458,5.885,1
GEMCITABINE,ERLOTINIB,4,592,367,4.76,1
GEMCITABINE,GELDANAMYCIN,4,592,585,0.7825,1
GEMCITABINE,LAPATINIB,4,592,531,5.7025,1
GEMCITABINE,SORAFENIB,4,592,159,0.2475,1
GEMCITABINE,SUNITINIB,4,592,366,2.825,1
LAPATINIB,BORTEZOMIB,4,531,393,5.6925,1
LAPATINIB,DASATINIB,4,531,458,19.5325,1
LAPATINIB,ERLOTINIB,4,531,367,9.385,1
LAPATINIB,GELDANAMYCIN,4,531,585,6.77,1
LAPATINIB,SORAFENIB,4,531,159,7.7375,1
LAPATINIB,TOPOTECAN,4,531,745,10.205,1
METFORMIN,BORTEZOMIB,4,716,393,0.645,1
METFORMIN,DASATINIB,4,716,458,10.49,1
METFORMIN,ERLOTINIB,4,716,367,4.5225,1
METFORMIN,GELDANAMYCIN,4,716,585,1.3575,1
METFORMIN,LAPATINIB,4,716,531,4.83,1
METFORMIN,SORAFENIB,4,716,159,5.6425,1
METFORMIN,SUNITINIB,4,716,366,11.5225,1
METHOTREXATE,BORTEZOMIB,4,440,393,0.7725,1
METHOTREXATE,DASATINIB,4,440,458,2.15,1
METHOTREXATE,ERLOTINIB,4,440,367,2.595,1
METHOTREXATE,GELDANAMYCIN,4,440,585,-1.18,0
METHOTREXATE,LAPATINIB,4,440,531,2.33,1
METHOTREXATE,SORAFENIB,4,440,159,0.8175,1
METHOTREXATE,SUNITINIB,4,440,366,-0.14,0
PACLITAXEL,BORTEZOMIB,4,267,393,2.215,1
PACLITAXEL,DASATINIB,4,267,458,11.8525,1
PACLITAXEL,ERLOTINIB,4,267,367,4.1875,1
PACLITAXEL,GELDANAMYCIN,4,267,585,0.67,1
PACLITAXEL,LAPATINIB,4,267,531,5.665,1
PACLITAXEL,SORAFENIB,4,267,159,5.3925,1
PACLITAXEL,SUNITINIB,4,267,366,6.03,1
SUNITINIB,BORTEZOMIB,4,366,393,6.1425,1
SUNITINIB,DASATINIB,4,366,458,15.355,1
SUNITINIB,ERLOTINIB,4,366,367,12.2275,1
SUNITINIB,GELDANAMYCIN,4,366,585,6.17,1
SUNITINIB,LAPATINIB,4,366,531,17.3475,1
SUNITINIB,SORAFENIB,4,366,159,2.3625,1
SUNITINIB,TOPOTECAN,4,366,745,3.3675,1
TOPOTECAN,SORAFENIB,4,745,159,3.0325,1
VINBLASTINE,BORTEZOMIB,4,293,393,4.2425,1
VINBLASTINE,DASATINIB,4,293,458,9.4425,1
VINBLASTINE,ERLOTINIB,4,293,367,10.5925,1
VINBLASTINE,GELDANAMYCIN,4,293,585,3.0275,1
VINBLASTINE,LAPATINIB,4,293,531,8.0425,1
VINBLASTINE,SORAFENIB,4,293,159,5.5925,1
VINBLASTINE,SUNITINIB,4,293,366,6.3175,1
VINORELBINE,BORTEZOMIB,4,416,393,2.22,1
VINORELBINE,DASATINIB,4,416,458,6.845,1
VINORELBINE,ERLOTINIB,4,416,367,5.4375,1
VINORELBINE,GELDANAMYCIN,4,416,585,1.44,1
VINORELBINE,LAPATINIB,4,416,531,5.8925,1
VINORELBINE,SORAFENIB,4,416,159,1.69,1
VINORELBINE,SUNITINIB,4,416,366,5.1375,1
5-FU,BORTEZOMIB,45,251,393,0.9975,1
5-FU,DASATINIB,45,251,458,0.1925,1
5-FU,ERLOTINIB,45,251,367,1.12,1
5-FU,GELDANAMYCIN,45,251,585,6.2925,1
5-FU,LAPATINIB,45,251,531,-0.8575,0
5-FU,SORAFENIB,45,251,159,7.2025,1
5-FU,SUNITINIB,45,251,366,7.425,1
BORTEZOMIB,DASATINIB,45,393,458,-1.65,0
BORTEZOMIB,GELDANAMYCIN,45,393,585,3.785,1
BORTEZOMIB,SORAFENIB,45,393,159,8.0675,1
BORTEZOMIB,TOPOTECAN,45,393,745,-4.8325,0
DASATINIB,GELDANAMYCIN,45,458,585,9.8675,1
DASATINIB,SORAFENIB,45,458,159,13.25,1
DASATINIB,TOPOTECAN,45,458,745,6.125,1
DEXAMETHASONE,BORTEZOMIB,45,552,393,3.32,1
DEXAMETHASONE,DASATINIB,45,552,458,13.6625,1
DEXAMETHASONE,ERLOTINIB,45,552,367,-1.9475,0
DEXAMETHASONE,GELDANAMYCIN,45,552,585,5.59,1
DEXAMETHASONE,LAPATINIB,45,552,531,0.11,1
DEXAMETHASONE,SORAFENIB,45,552,159,13.375,1
DEXAMETHASONE,SUNITINIB,45,552,366,16.555,1
DOXORUBICIN,BORTEZOMIB,45,761,393,-0.1025,0
DOXORUBICIN,DASATINIB,45,761,458,-4.7025,0
DOXORUBICIN,ERLOTINIB,45,761,367,-5.645,0
DOXORUBICIN,GELDANAMYCIN,45,761,585,-2.4225,0
DOXORUBICIN,LAPATINIB,45,761,531,-3.9125,0
DOXORUBICIN,SORAFENIB,45,761,159,-16.425,0
DOXORUBICIN,SUNITINIB,45,761,366,-17.505,0
ERLOTINIB,BORTEZOMIB,45,367,393,-0.2325,0
ERLOTINIB,DASATINIB,45,367,458,-2.415,0
ERLOTINIB,GELDANAMYCIN,45,367,585,10.1875,1
ERLOTINIB,SORAFENIB,45,367,159,8.5525,1
ERLOTINIB,TOPOTECAN,45,367,745,15.61,1
ETOPOSIDE,BORTEZOMIB,45,589,393,0.0675,1
ETOPOSIDE,DASATINIB,45,589,458,5.2025,1
ETOPOSIDE,ERLOTINIB,45,589,367,6.8,1
ETOPOSIDE,GELDANAMYCIN,45,589,585,0.365,1
ETOPOSIDE,LAPATINIB,45,589,531,3.175,1
ETOPOSIDE,SORAFENIB,45,589,159,1.3875,1
ETOPOSIDE,SUNITINIB,45,589,366,-1.3525,0
GELDANAMYCIN,SORAFENIB,45,585,159,6.835,1
GELDANAMYCIN,TOPOTECAN,45,585,745,-0.8975,0
GEMCITABINE,BORTEZOMIB,45,592,393,1.86,1
GEMCITABINE,DASATINIB,45,592,458,2.8825,1
GEMCITABINE,ERLOTINIB,45,592,367,0.41,1
GEMCITABINE,GELDANAMYCIN,45,592,585,0.23,1
GEMCITABINE,LAPATINIB,45,592,531,-1.6825,0
GEMCITABINE,SORAFENIB,45,592,159,1.2675,1
GEMCITABINE,SUNITINIB,45,592,366,1.7075,1
LAPATINIB,BORTEZOMIB,45,531,393,3.1625,1
LAPATINIB,DASATINIB,45,531,458,-3.375,0
LAPATINIB,ERLOTINIB,45,531,367,-5.1725,0
LAPATINIB,GELDANAMYCIN,45,531,585,9.0575,1
LAPATINIB,SORAFENIB,45,531,159,7.975,1
LAPATINIB,TOPOTECAN,45,531,745,6.255,1
METFORMIN,BORTEZOMIB,45,716,393,-0.7575,0
METFORMIN,DASATINIB,45,716,458,-2.735,0
METFORMIN,ERLOTINIB,45,716,367,-3.3975,0
