Drug1,Drug2,cell,drug1_db,drug2_db,synergy,synergistic
5-FU,BORTEZOMIB,53,143,131,-2.395,0
5-FU,DASATINIB,53,143,43,1.5075,1
5-FU,ERLOTINIB,53,143,409,8.2525,1
5-FU,GELDANAMYCIN,53,143,387,6.0575,1
5-FU,LAPATINIB,53,143,667,4.92,1
5-FU,SORAFENIB,53,143,566,11.155,1
5-FU,SUNITINIB,53,143,343,13.5325,1
BORTEZOMIB,DASATINIB,53,131,43,1.05,1
BORTEZOMIB,GELDANAMYCIN,53,131,387,3.5625,1
BORTEZOMIB,SORAFENIB,53,131,566,12.895,1
BORTEZOMIB,TOPOTECAN,53,131,307,2.6475,1
DASATINIB,GELDANAMYCIN,53,43,387,-1.815,0
DASATINIB,SORAFENIB,53,43,566,13.4575,1
DASATINIB,TOPOTECAN,53,43,307,2.4525,1
DEXAMETHASONE,BORTEZOMIB,53,487,131,5.385,1
DEXAMETHASONE,DASATINIB,53,487,43,2.6975,1
DEXAMETHASONE,ERLOTINIB,53,487,409,-0.9,0
DEXAMETHASONE,GELDANAMYCIN,53,487,387,11.3325,1
DEXAMETHASONE,LAPATINIB,53,487,667,4.18,1
DEXAMETHASONE,SORAFENIB,53,487,566,17.79,1
DEXAMETHASONE,SUNITINIB,53,487,343,16.935,1
DOXORUBICIN,BORTEZOMIB,53,114,131,-0.0825,0
DOXORUBICIN,DASATINIB,53,114,43,1.65,1
DOXORUBICIN,ERLOTINIB,53,114,409,0.31,1
DOXORUBICIN,GELDANAMYCIN,53,114,387,0.9525,1
DOXORUBICIN,LAPATINIB,53,114,667,3.115,1
DOXORUBICIN,SORAFENIB,53,114,566,-0.9275,0
DOXORUBICIN,SUNITINIB,53,114,343,-1.125,0
ERLOTINIB,BORTEZOMIB,53,409,131,-1.195,0
ERLOTINIB,DASATINIB,53,409,43,5.085,1
ERLOTINIB,GELDANAMYCIN,53,409,387,6.1575,1
ERLOTINIB,SORAFENIB,53,409,566,8.445,1
ERLOTINIB,TOPOTECAN,53,409,307,13.74,1
ETOPOSIDE,BORTEZOMIB,53,325,131,3.95,1
ETOPOSIDE,DASATINIB,53,325,43,-0.1675,0
ETOPOSIDE,ERLOTINIB,53,325,409,2.54,1
ETOPOSIDE,GELDANAMYCIN,53,325,387,9.53,1
ETOPOSIDE,LAPATINIB,53,325,667,3.5975,1
ETOPOSIDE,SORAFENIB,53,325,566,3.7175,1
ETOPOSIDE,SUNITINIB,53,325,343,3.4675,1
GELDANAMYCIN,SORAFENIB,53,387,566,16.7075,1
GELDANAMYCIN,TOPOTECAN,53,387,307,7.5,1
GEMCITABINE,BORTEZOMIB,53,78,131,10.09,1
GEMCITABINE,DASATINIB,53,78,43,2.7175,1
GEMCITABINE,ERLOTINIB,53,78,409,8.84,1
GEMCITABINE,GELDANAMYCIN,53,78,387,9.8775,1
GEMCITABINE,LAPATINIB,53,78,667,5.9925,1
GEMCITABINE,SORAFENIB,53,78,566,3.0975,1
GEMCITABINE,SUNITINIB,53,78,343,8.2875,1
