Unnamed: 0,drug_a_name,drug_b_name,cell,synergy,drug1_db,drug2_db,synergistic
5-FU_ABT-888_A2058,5-FU,ABT-888,14,7.693530166,3,5,1
5-FU_ABT-888_A2780,5-FU,ABT-888,26,7.77805306,3,5,1
5-FU_ABT-888_A375,5-FU,ABT-888,13,-1.198505438,3,5,0
5-FU_ABT-888_CAOV3,5-FU,ABT-888,19,-5.139971221,3,5,0
5-FU_ABT-888_DLD1,5-FU,ABT-888,5,1.935127119,3,5,1
5-FU_ABT-888_ES2,5-FU,ABT-888,10,1.498650452,3,5,1
5-FU_ABT-888_HCT116,5-FU,ABT-888,2,9.463280869,3,5,1
5-FU_ABT-888_HT144,5-FU,ABT-888,21,-3.701354746,3,5,0
5-FU_ABT-888_HT29,5-FU,ABT-888,23,10.17343391,3,5,1
5-FU_ABT-888_KPL1,5-FU,ABT-888,22,2.157004428,3,5,1
5-FU_ABT-888_LOVO,5-FU,ABT-888,8,-8.979213946,3,5,0
5-FU_ABT-888_MDAMB436,5-FU,ABT-888,25,6.899259995,3,5,1
5-FU_ABT-888_NCIH1650,5-FU,ABT-888,6,-5.996370296,3,5,0
5-FU_ABT-888_NCIH2122,5-FU,ABT-888,17,7.890256814,3,5,1
5-FU_ABT-888_NCIH23,5-FU,ABT-888,11,-5.042652306,3,5,0
5-FU_ABT-888_NCIH460,5-FU,ABT-888,7,-6.611947917,3,5,0
5-FU_ABT-888_NCIH520,5-FU,ABT-888,16,3.698834848,3,5,1
5-FU_ABT-888_OV90,5-FU,ABT-888,18,-10.06884761,3,5,0
5-FU_ABT-888_RKO,5-FU,ABT-888,1,-2.677587786,3,5,0
5-FU_ABT-888_RPMI7951,5-FU,ABT-888,15,-2.17322193,3,5,0
5-FU_ABT-888_SKMEL30,5-FU,ABT-888,20,-36.45922958,3,5,0
5-FU_ABT-888_SKMES1,5-FU,ABT-888,4,-0.086424579,3,5,0
5-FU_ABT-888_SKOV3,5-FU,ABT-888,28,5.077177384,3,5,1
5-FU_ABT-888_SW620,5-FU,ABT-888,24,0.108107719,3,5,1
5-FU_ABT-888_SW837,5-FU,ABT-888,0,-14.52310863,3,5,0
5-FU_ABT-888_T47D,5-FU,ABT-888,12,17.48579545,3,5,1
5-FU_ABT-888_UACC62,5-FU,ABT-888,9,-1.583963783,3,5,0
5-FU_ABT-888_VCAP,5-FU,ABT-888,27,1.096102762,3,5,1
5-FU_ABT-888_ZR751,5-FU,ABT-888,3,-8.675317044,3,5,0
