synergy,drug1_db,drug2_db,proteinsInCommon
-2.395,DB00544,DB00188,0
1.5075,DB00544,DB01254,0
8.2525,DB00544,DB00530,0
6.0575,DB00544,DB02424,0
4.92,DB00544,DB01259,0
11.155,DB00544,DB00398,0
13.5325,DB00544,DB01268,0
1.05,DB00188,DB01254,0
3.5625,DB00188,DB02424,0
12.895,DB00188,DB00398,0
-1.815,DB01254,DB02424,0
13.4575,DB01254,DB00398,29
5.385,DB01234,DB00188,0
2.6975,DB01234,DB01254,0
-0.9,DB01234,DB00530,0
11.3325,DB01234,DB02424,0
4.18,DB01234,DB01259,0
17.79,DB01234,DB00398,0
16.935,DB01234,DB01268,0
-0.0825,DB00997,DB00188,0
1.65,DB00997,DB01254,1
0.31,DB00997,DB00530,1
0.9525,DB00997,DB02424,0
3.115,DB00997,DB01259,0
-0.9275,DB00997,DB00398,0
-1.125,DB00997,DB01268,1
-1.195,DB00530,DB00188,0
5.085,DB00530,DB01254,27
6.1575,DB00530,DB02424,0
8.445,DB00530,DB00398,24
3.95,DB00773,DB00188,0
-0.1675,DB00773,DB01254,0
2.54,DB00773,DB00530,0
9.53,DB00773,DB02424,0
3.5975,DB00773,DB01259,0
3.7175,DB00773,DB00398,0
3.4675,DB00773,DB01268,0
16.7075,DB02424,DB00398,0
1.7725,DB01259,DB00188,0
7.1,DB01259,DB01254,6
5.1075,DB01259,DB00530,8
9.875,DB01259,DB02424,0
20.58,DB01259,DB00398,4
2.6525,DB00331,DB00188,0
-0.5275,DB00331,DB01254,0
-0.415,DB00331,DB00530,0
10.9925,DB00331,DB02424,0
4.47,DB00331,DB01259,0
17.3525,DB00331,DB00398,0
13.2575,DB00331,DB01268,0
-2.4275,DB00563,DB00188,0
5.06,DB00563,DB01254,0
3.2875,DB00563,DB00530,0
-6.2425,DB00563,DB02424,0
0.105,DB00563,DB01259,0
1.55,DB00563,DB00398,0
-2.5225,DB00563,DB01268,0
2.1075,DB01229,DB00188,0
0.645,DB01229,DB01254,0
-2.2525,DB01229,DB00530,0
3.855,DB01229,DB02424,0
0.375,DB01229,DB01259,0
3.4675,DB01229,DB00398,0
5.6075,DB01229,DB01268,0
5.2975,DB01268,DB00188,0
16.3975,DB01268,DB01254,34
14.34,DB01268,DB00530,36
10.5975,DB01268,DB02424,0
24.8375,DB01268,DB01259,5
12.515,DB01268,DB00398,40
4.51,DB00570,DB00188,0
-1.2525,DB00570,DB01254,0
8.9775,DB00570,DB00530,0
3.1475,DB00570,DB02424,0
2.5875,DB00570,DB01259,0
15.8075,DB00570,DB00398,0
7.7925,DB00570,DB01268,0
0.125,DB00361,DB00188,0
-1.34,DB00361,DB01254,0
3.5475,DB00361,DB00530,0
3.07,DB00361,DB02424,0
1.25,DB00361,DB01259,0
5.005,DB00361,DB00398,0
3.1575,DB00361,DB01268,0
2.3325,DB00544,DB00188,0
11.825,DB00544,DB01254,0
15.215,DB00544,DB00530,0
4.1725,DB00544,DB02424,0
15.875,DB00544,DB01259,0
5.4125,DB00544,DB00398,0
10.6925,DB00544,DB01268,0
4.33,DB00188,DB01254,0
3.0325,DB00188,DB02424,0
3.0225,DB00188,DB00398,0
6.5325,DB01254,DB02424,0
13.57,DB01254,DB00398,29
1.5225,DB01234,DB00188,0
5.5075,DB01234,DB01254,0
3.7525,DB01234,DB00530,0
3.005,DB01234,DB02424,0
4.5975,DB01234,DB01259,0
2.0025,DB01234,DB00398,0
5.795,DB01234,DB01268,0
4.1825,DB00997,DB00188,0
7.6625,DB00997,DB01254,1
6.0,DB00997,DB00530,1
2.6175,DB00997,DB02424,0
8.875,DB00997,DB01259,0
-0.3575,DB00997,DB00398,0
-0.38,DB00997,DB01268,1
2.68,DB00530,DB00188,0
11.615,DB00530,DB01254,27
5.6025,DB00530,DB02424,0
8.295,DB00530,DB00398,24
3.64,DB00773,DB00188,0
9.715,DB00773,DB01254,0
9.72,DB00773,DB00530,0
3.5125,DB00773,DB02424,0
12.05,DB00773,DB01259,0
1.675,DB00773,DB00398,0
2.3025,DB00773,DB01268,0
2.2275,DB02424,DB00398,0
5.6925,DB01259,DB00188,0
19.5325,DB01259,DB01254,6
9.385,DB01259,DB00530,8
6.77,DB01259,DB02424,0
7.7375,DB01259,DB00398,4
0.645,DB00331,DB00188,0
10.49,DB00331,DB01254,0
4.5225,DB00331,DB00530,0
1.3575,DB00331,DB02424,0
4.83,DB00331,DB01259,0
5.6425,DB00331,DB00398,0
11.5225,DB00331,DB01268,0
0.7725,DB00563,DB00188,0
2.15,DB00563,DB01254,0
2.595,DB00563,DB00530,0
-1.18,DB00563,DB02424,0
2.33,DB00563,DB01259,0
0.8175,DB00563,DB00398,0
-0.14,DB00563,DB01268,0
2.215,DB01229,DB00188,0
11.8525,DB01229,DB01254,0
